month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2017-01,-0.6951,False,0,0.0,1.0,0.0,0.10653228106380186,0.14057947616860123,0.200161937615152,0.021739173743256845,11.989999771118164,0.03929139618421873,0.05091990830044968,0.09459067727453419,0.04532707116354939,0.09004450089179428,0.15038601406289853,
2017-02,-0.6951,False,0,0.0,1.0,0.0,0.046153793743145544,0.16923077284530041,0.061538430814947365,0.10653228106380186,12.920000076293945,-0.003086980749867907,0.025459444738082038,0.05628186830795423,0.01833817361240775,0.08400633213840814,0.13265608707548093,
2017-03,-0.6951,False,3,0.0,1.0,0.0,-0.014705791530417178,-0.007352951910041594,0.03676475955020808,0.046153793743145544,12.369999885559082,0.014320071730805628,0.030168846279564177,0.07556399545385029,0.024000117768420592,0.030402437365463664,0.11736394598523048,
2017-04,-0.6951,False,3,0.0,1.0,0.0,0.13432831398349054,0.05223876344566403,0.33582078495872625,-0.014705791530417178,10.819999694824219,0.014112654670012104,0.04155480225387387,0.09075260100465843,0.039536609165892855,0.05535692636560907,0.1664112679755103,0.05814174951673475
2017-05,-0.6951,False,3,0.0,1.0,0.0,-0.11184216210785425,-0.09210529224122777,0.24342109361263908,0.13432831398349054,10.40999984741211,0.0014913219159966573,0.030057184346032217,0.10844924749901841,-0.032018443948957476,0.044879585565798186,0.13791266856726603,0.03992986425494677
2017-06,-0.6951,False,0,0.0,1.0,0.0,0.04444450980350023,0.04444450980350023,0.548148049271628,-0.11184216210785425,11.180000305175781,0.02553085889671003,0.04406573673648717,0.1145250679072205,0.048799554132657796,0.08439567441446494,0.17757789977076333,0.05880955420065552
2017-07,-0.6951,False,0,0.0,1.0,0.0,-0.021276625702145613,0.2695034923294821,0.34893607665329895,0.04444450980350023,10.260000228881836,0.002917967848280467,0.047234959355305195,0.15389626411412594,0.02921632883607228,0.1052291777648584,0.20627466657711624,0.03036760148257056
2017-08,-0.6951,False,0,0.0,1.0,0.0,0.021739161708904442,0.36956530640226637,0.3015195147946059,-0.021276625702145613,10.59000015258789,0.015111384825953866,0.0761045739443642,0.10870558720973067,0.004589453938214971,0.08903713335646324,0.16723811893822838,0.03415182415927779
2017-09,-0.6951,False,0,0.0,1.0,0.0,0.2695034923294821,0.4822693161199092,0.19864617469456403,0.021739161708904442,9.510000228881836,0.028643819584865948,0.06748553150587355,0.05802523090692002,0.06894918174594777,0.08593009687779651,0.11503387615880167,0.012850339698286547
2017-10,-0.6951,False,5,0.0,1.0,0.0,0.05586600281317855,0.06256980370968623,-0.011119793339641526,0.2695034923294821,10.180000305175781,0.030565875261576503,0.10185040501749798,0.038019983420106485,0.014137902716286455,0.09142491968643607,0.04701528551239664,0.008781234359246362
2017-11,-0.6951,False,14,0.0,1.0,0.0,0.1058199279723524,-0.04968422556381136,-0.23805411422242628,0.05586600281317855,11.279999732971191,0.006980866363849092,0.030295395126767488,0.03171786911108976,0.0017233477386495721,0.07180745558303059,0.1024461568377073,0.056149448335896246
2017-12,-0.6951,False,14,0.0,1.0,0.0,-0.08995210115772523,-0.19134386601739606,-0.28225784589875713,0.1058199279723524,11.039999961853027,0.061758286905731596,-0.008862228404733608,0.02585132215170538,0.07435808086571782,0.0268007852113894,0.09377919734797491,0.04307239647417758
2018-01,-0.6951,False,9,0.0,1.0,0.0,-0.055679810718206824,-0.06935035871719641,-0.006255410626289426,-0.08995210115772523,13.539999961853027,-0.03635986262588242,-0.057930206593133526,0.006474688520577754,-0.004090390905738817,-0.04068959153580454,0.043007469651032526,0.07934941148754536
2018-02,-0.6951,False,0,0.0,1.0,0.0,-0.05902007323241665,-0.1982182067538263,0.10244988068804295,-0.055679810718206824,19.850000381469727,-0.03129066028278693,0.0013806467456329852,0.07778923955810124,-0.04034039447587523,0.028586012436357056,0.11640198069259489,0.05694997632734111
2018-03,-0.6951,False,0,0.0,1.0,0.0,0.04733732301837912,-0.11242600663104196,0.18934911135670518,-0.05902007323241665,19.969999313354492,0.009194118778641291,0.03502394071872228,0.11417443389489268,0.0037418204544132916,0.06523019177746003,0.15917680202743223,0.051216112157997574
2018-04,-0.6951,False,0,0.0,1.0,0.0,-0.18644063117320342,0.06779667158517055,-0.05084746055167477,0.04733732301837912,15.930000305175781,0.024309016961535646,0.06836531174702021,0.03238364774495839,0.06782818629612564,0.08724711047473321,0.06601423251203697,0.03775623966777739
2018-05,-0.6951,False,0,0.0,1.0,0.0,0.04166659596958788,0.3749998939543817,0.14583329798479383,-0.18644063117320342,15.430000305175781,0.001254978777143867,0.0763032449855976,0.026578694090446886,-0.006151772167136471,0.08537542528721809,-0.021290151965054793,0.0007285447825935617
2018-06,-0.6951,False,0,0.0,1.0,0.0,0.2600000855151925,0.33999995520632775,0.03333331297257325,0.04166659596958788,16.09000015258789,0.04170343013854039,0.07647213756351201,-0.07041197281308631,0.024487854714972945,0.08819371716568725,-0.10162040343348866,-0.03965589421513677
2018-07,-0.6951,False,0,0.0,1.0,0.0,0.04761896682238609,-0.11111116497555218,-0.13756617347576494,0.2600000855151925,12.829999923706055,0.03191961279697875,-0.03367917659477693,-0.030550309581065305,0.06598993059523983,-0.01952902680369062,-0.05818665719917049,-0.05034811621559752
2018-08,-0.6951,False,0,0.0,1.0,0.0,0.01515149061203136,-0.16666662810462063,-0.055482609018567386,0.04761896682238609,12.859999656677246,0.001412094845782752,-0.046199387697484884,-0.03008399145827101,-0.0035711403196895253,-0.09827528315748113,-0.05543811075325478,0.007977248229888767
2018-09,-0.6951,False,0,0.0,1.0,0.0,-0.16417907045985614,-0.228855710809733,-0.059628843084099103,0.01515149061203136,12.119999885559082,-0.06489013395748122,-0.13644952363472784,-0.018245137602180495,-0.07692850262317086,-0.17443045075978414,-0.01004658521195334,0.02519371115332092
2018-10,-0.6951,False,0,0.0,1.0,0.0,-0.01785711364049114,-0.029761886366235224,0.19056798703165034,-0.16417907045985614,21.229999542236328,0.01854946586408479,0.0032379174058214666,0.09758552039403612,-0.019624757284362637,-0.03942761331266853,0.14440146952722221,0.03755563846072892
2018-11,-0.6951,False,0,0.0,1.0,0.0,-0.06060611389179438,0.1334208167292883,0.2061536137849005,-0.01785711364049114,18.06999969482422,-0.0933431155444222,0.01689598017798577,0.008877493139963777,-0.08772454700287169,0.04750582035083295,0.06616575790569046,0.002302906214356378
2018-12,-0.6951,False,0,0.0,1.0,0.0,0.051612951532293394,0.21944903190987652,0.36139538728284637,-0.06060611389179438,25.420000076293945,0.08637271384853196,0.13688184914224766,0.18441561358276592,0.07401852712994539,0.19911570829994374,0.2686663610569904,0.03040015913647509
2019-01,-0.6951,False,0,0.0,1.0,0.0,0.14732783299280583,0.22708845416585355,0.21481756775050553,0.051612951532293394,16.56999969482422,0.03241597977864874,0.09404309920041598,0.11211469656943196,0.0691008685082728,0.19137452355241136,0.2268745640645189,0.01335470749291138
2019-02,-0.6951,False,10,0.0,1.0,0.0,0.010695187602430378,0.06417104396008622,-0.08021402949997314,0.14732783299280583,14.779999732971191,0.013635391849020628,-0.007885257877229934,0.05916028227541914,0.04431288564957492,0.017813683888274534,0.12995857347004636,-0.02137648150423847
2019-03,-0.6951,False,10,0.0,1.0,0.0,0.05820093936646087,0.1164020403137771,-0.03703715971879762,0.010695187602430378,13.710000038146973,0.0454371944123666,0.04181064591398065,0.060347395569147144,0.06708493783306868,0.05800161925628733,0.09561640100467894,-0.004758337142501845
2019-04,-0.6951,False,10,0.0,1.0,0.0,-0.004999962589988249,-0.01000000152693925,-0.085000051152465,0.05820093936646087,13.119999885559082,-0.06377078353666787,0.016518176827058806,0.041469654783446774,-0.08664700149877846,0.029797548806276497,0.07009573172701322,-0.0055010543107686756
2019-05,-0.6951,False,2,0.0,1.0,0.0,0.0603015144781458,-0.13567844594113476,-0.08040209603480741,-0.004999962589988249,18.709999084472656,0.06440928399471524,0.06757841336899761,0.15267589354132527,0.08554713059717467,0.11018213977370905,0.2344847192030184,0.03156228066028416
2019-06,-0.6951,False,2,0.0,1.0,0.0,-0.06161141727890174,-0.13744080939645087,-0.09004736695619653,0.0603015144781458,15.079999923706055,0.02005668210362943,0.017792820343954352,0.10893834595646301,0.03863872545019431,0.035552669356812894,0.18247700108083253,0.033705139168701305
2019-07,-0.6951,False,2,0.0,1.0,0.0,-0.13131315156638135,-0.07575762600121527,0.14646470761388208,-0.06161141727890174,16.1200008392334,-0.016743503218566103,0.02454602241769166,0.09203826121374803,-0.015351913179229237,0.03913214103825524,0.18780501443785957,0.05385641056369134
2019-08,-0.6951,False,0,0.0,1.0,0.0,0.05813954520645814,0.06395345533933394,0.011694668247581586,-0.13131315156638135,18.979999542236328,0.014771480568352313,0.07971075389561522,0.02270963258740455,0.012573692666024483,0.11196593331491167,0.11825094766796584,0.03498568242849215
2019-09,-0.6951,False,0,0.0,1.0,0.0,0.00549446446757762,0.054945148062351734,-0.021913424388693592,0.05813954520645814,16.239999771118164,0.02682490522646863,0.08955214046578441,-0.12318156428610949,0.04222886433449391,0.14188011491030683,0.00438849139966857,-0.011454481664705715
2019-10,-0.6951,False,0,0.0,1.0,0.0,0.0,0.24043729206402897,0.09843318501440046,0.00549446446757762,13.220000267028809,0.03619807230077976,0.06587526311096337,-0.03199593050617977,0.05366303822960328,0.14307407838531194,0.10179358674046401,-0.0035470887307010868
2019-11,-0.6951,False,0,0.0,1.0,0.0,0.04918046328674608,-0.04911755004835727,0.11482775748765572,0.0,12.619999885559082,0.024020956304908525,-0.05279295506000059,-0.021302231278470196,0.03981401758392189,0.005652164481620092,0.12072217148996356,-0.012331501213848295
2019-12,-0.6951,False,0,0.0,1.0,0.0,0.1822916413999327,-0.07285551537178381,0.06257006920931185,0.04918046328674608,13.779999732971191,0.0045111430456798995,-0.19524876034014316,-0.03157174554554987,0.04331863127268876,-0.12040810739701702,0.1495395596987079,-0.01149817411551692
2020-01,-0.6951,False,0,0.0,1.0,0.0,-0.23342964933808197,-0.11447906956533083,0.004471442941377246,0.1822916413999327,18.84000015258789,-0.07916606379261992,-0.09182237078238142,0.025348215551638464,-0.073009759326639,-0.03611357516142788,0.16765491161394808,-0.013351682647416874
2020-02,-0.6951,False,0,0.0,1.0,0.0,0.022988572315591815,0.1724138536202351,0.6264366651143809,-0.23342964933808197,40.11000061035156,-0.12998732597449325,0.03324587158610637,0.19121806357482374,-0.09052850281170022,0.1144232678777739,0.40927281328937704,0.027298827132388865
2020-03,-0.6951,False,0,0.0,1.0,0.0,0.12921342001772684,0.1460674003096738,0.589887423114464,0.022988572315591815,53.540000915527344,0.13361061587117984,0.2033883350882124,0.3126742165977996,0.14330370018407557,0.30690104054604994,0.46363933127568524,0.01027941083710543
2020-04,-0.6951,False,0,0.0,1.0,0.0,0.014925416217319132,0.13432829018318038,0.4676619020442696,0.12921342001772684,34.150001525878906,0.04764512182745295,0.12901725671767617,0.1336061867810654,0.0717647501623686,0.21140300508900944,0.21881401744653206,0.004420915355294375
2020-05,-0.6951,False,0,0.0,1.0,0.0,0.0,0.38725473099127283,0.3627452315862161,0.014925416217319132,27.510000228881836,0.013275864043893915,0.1528892554356096,0.1997535627850351,0.06655099573237133,0.26457590568177314,0.26665871752267645,0.025040741280319245
2020-06,-0.6951,False,0,0.0,1.0,0.0,0.11764694435467193,0.38725473099127283,0.5686274216294032,0.0,30.43000030517578,0.0635518979192169,0.09081514115023914,0.222689439328706,0.05976006993895355,0.11993126171523039,0.2505226699350176,0.027528310649872434
2020-07,-0.6951,False,0,0.0,1.0,0.0,0.2412280443286785,0.29385991228981867,0.5657897345015166,0.11764694435467193,24.459999084472656,0.06979658395640453,0.004064534918385876,0.14276344846107558,0.11880841794246,0.006117710065427939,0.17283817078821628,0.019331566768748087
2020-08,-0.6951,False,0,0.0,1.0,0.0,0.0,-0.017667627190244617,0.1802711945974731,0.2412280443286785,26.40999984741211,-0.04128115562709145,0.04064944410616267,0.09790837817340181,-0.055443175085471474,0.0016470437492484002,0.06260238724793021,0.00855745059453796
2020-09,-0.3435,False,2,0.5,0.0,1.0,0.04240306058312293,0.13074216766846347,0.1802711945974731,0.0,26.3700008392334,-0.02103051061449679,0.12089518489760653,0.1932651792846145,-0.04793855548531356,0.11660662817803669,0.14322307611206586,0.08766706620566471
2020-10,0.7114,False,7,0.5714,0.0,1.0,-0.057627121451239605,0.21016944696157114,0.2881999932508572,0.04240306058312293,38.02000045776367,0.1087765593587029,0.13813744905745895,0.2875949474798949,0.113837012451518,0.16570671508400991,0.26574889258038725,0.0838356374863994
2020-11,2.4696,True,25,0.36,0.0,1.0,0.15107900234847493,0.20149882795937502,0.6079940420352865,-0.057627121451239605,20.56999969482422,0.03264681724902019,0.05502230784010087,0.168900633159488,0.05296413339627071,0.06085511246608477,0.12581148886474192,0.06936724424729875
2020-12,2.4696,True,35,0.2571,0.0,1.0,0.11562509244529862,0.04380222861161709,0.443822363794079,0.15107900234847493,22.75,-0.005971430365202424,0.06456446183558096,0.15355872718084762,-0.006073946691280696,0.023836906626158116,0.14071932370350448,0.057275154635872294
2021-01,1.4147,False,31,0.1935,0.0,1.0,-0.06437903227530994,0.06447902521849391,0.38942512611385416,0.11562509244529862,33.09000015258789,0.027805565577667446,0.13131761769741268,0.19270830611270662,0.013650924218949978,0.08582105275868424,0.19449036919225815,0.08245498836061811
2021-02,0.3598,False,18,0.1667,0.0,1.0,0.0,0.33832343787326247,0.6976049308381347,-0.06437903227530994,27.950000762939453,0.04198659601948562,0.10793925822528339,0.1949761876895122,0.016221280791722137,0.06123020536485724,0.22034712724044225,0.08211801304238923
2021-03,0.0081,False,7,0.2857,0.0,1.0,0.13772463629921639,0.3832336473495912,0.44311389617707,0.0,19.399999618530273,0.056358796144081236,0.08359687791175929,0.08988497504339343,0.054099365419754575,0.11416116797596998,0.12875225533637336,0.031183500275057823
2021-04,0.0081,False,17,0.1176,0.0,1.0,0.1763157755171343,0.305263037783823,0.2657895713800593,0.13772463629921639,18.610000610351562,0.006566253466153471,0.0542647683152353,0.10766510259438267,-0.009305469124824772,0.10008031816797414,0.16042039150965026,0.031183500275057823
2021-05,-0.6951,False,16,0.0,1.0,0.0,0.03355706715238882,0.2684564005961134,-0.13199106704199737,0.1763157755171343,16.760000228881836,0.019093252531928284,0.07855749204486706,0.09159764024300787,0.06690733396499238,0.14993629192911984,0.22345771946640092,0.0470704295610734
2021-06,-0.3435,False,25,0.04,0.0,1.0,0.07359296658440218,0.04329004643735712,-0.14372295945951308,0.03355706715238882,15.829999923706055,0.027763999856495802,0.005802985648825532,0.11676036416458091,0.04077758103721063,0.01309602935355425,0.18173585730498387,0.08606091238913571
2021-07,1.7664,True,34,0.2059,0.0,1.0,0.14314527523149834,-0.030241771398648254,-0.4080644190183831,0.07359296658440218,18.239999771118164,0.029759891958028195,0.05065172989180278,0.032900247965059304,0.035593107570810245,0.05485060712854484,0.059725377679187064,0.06647392318978802
