month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2019-09,-0.9943,False,113,0.0973,0.4073,0.5927,-0.09316098926584848,-0.08131396088836229,0.2644049503555248,,16.239999771118164,Q1 (lowest),0.026824671932170974,0.08955200651972217,-0.12318159309921839,0.04590586140562847,0.12832353080864856,0.012645627364386902,
2019-10,-0.9761,False,152,0.0789,0.422,0.578,0.1567695585348754,0.06057009789319534,0.39904983684467465,-0.09316098926584848,13.220000267028809,Q1 (lowest),0.03619829356512394,0.06587515247879128,-0.03199581987400768,0.040693824760601904,0.11398900446301186,0.11554749993397917,
2019-11,-0.8977,False,182,0.0824,0.4182,0.5818,-0.1242299863019466,0.09342914464028174,0.4922998140628778,0.1567695585348754,12.619999885559082,Q1 (lowest),0.024020844408224162,-0.052793264088996206,-0.021302333497078885,0.036616389217733136,0.005588847433284583,0.14268333686375612,
2019-12,-1.1208,False,89,0.0674,0.3955,0.6045,0.0468933862516383,0.37631889081300796,1.1072685749321387,-0.1242299863019466,13.779999732971191,Q1 (lowest),0.004510934049549942,-0.1952486878514963,-0.031572055042466296,0.0326183913529301,-0.10252192769688806,0.169585782141342,
2020-01,-1.1288,False,60,0.0833,0.3109,0.6891,0.19260909905653523,0.3191488611868878,1.3303470050142123,0.0468933862516383,18.84000015258789,Q1 (lowest),-0.07916607200963632,-0.09182217272369186,0.02534832197733028,-0.06057411735727958,0.001399022310564435,0.21796495845539043,-0.020207139010973225
2020-02,-1.1656,False,44,0.0909,0.3494,0.6506,0.10234743583383454,0.36478876695189744,0.7962441169933665,0.19260909905653523,40.11000061035156,Q1 (lowest),-0.1299870588310882,0.03324610076978596,0.19121831056483396,-0.07483015440396823,0.13633254762162306,0.4383974373868189,-0.0034320076953203438
2020-03,-1.0513,False,61,0.1148,0.2548,0.7452,0.0034071518426628256,0.5310903519513201,0.7487224094460225,0.10234743583383454,53.540000915527344,Q1 (lowest),0.133610525125891,0.2033878421049733,0.3126733136986448,0.1521875346403898,0.30319148538074714,0.46489617217507595,0.03577621365505077
2020-04,-0.9711,False,65,0.1385,0.2167,0.7833,0.2338709827581671,0.7665534751836207,1.2058574872138421,0.0034071518426628256,34.150001525878906,Q1 (lowest),0.04764511638214253,0.12901712768348994,0.13360560006665323,0.0660088363797402,0.21626337885285274,0.23269128504542036,0.04687141735151473
2020-05,-1.0115,False,67,0.1194,0.2341,0.7659,0.23667014586657142,0.31613342701015656,1.582731428250491,0.2338709827581671,27.510000228881836,Q1 (lowest),0.013275535321790821,0.152889238756726,0.19975354099366438,0.061021677004041264,0.26582437544134985,0.28617193059188106,0.06296610753626662
2020-06,-0.8066,False,93,0.1398,0.1685,0.8315,0.15771899996148164,0.14214187766080433,1.1137690195018566,0.23667014586657142,30.43000030517578,Q1 (lowest),0.06355212692747281,0.09081483771890908,0.22268948727908833,0.07533199815561198,0.12408359677632808,0.2693280120209387,0.07581634490681523
2020-07,-0.5548,False,126,0.1508,0.1281,0.8719,-0.08073043480492481,0.2486785813175334,0.8419030665419054,0.15771899996148164,24.459999084472656,Q2,0.0697966851851084,0.004064130003570421,0.14276354968977967,0.10944717483646027,0.013506865764602694,0.18563585272474747,0.13596636693490158
2020-08,-0.4921,False,133,0.1353,0.0,1.0,0.07318356441698892,0.9623629149193853,0.933350874693371,-0.08073043480492481,26.40999984741211,Q2,-0.04128171946636472,0.04064944025973971,0.09790817966040488,-0.057786304258433674,0.0160745483696636,0.0672461621209457,0.15443730255320878
2020-09,-0.4921,False,117,0.1538,0.0,1.0,0.2657087063447816,0.8507061695618943,0.7111544029789942,0.07318356441698892,26.3700008392334,Q2,-0.021030422294219586,0.12089554065468433,0.19326586685190428,-0.030449010880866823,0.12921139998941866,0.1506927046943336,0.10888071357629879
2020-10,-0.6813,False,120,0.1333,0.1453,0.8547,0.44467962415874074,0.47508181376702696,0.6305560106473873,0.2657087063447816,38.02000045776367,Q2,0.10877710732047485,0.1381380088597688,0.28759566837376704,0.11225791870834545,0.16983504776781966,0.25855795459934683,0.10402006834015785
2020-11,-0.6813,False,145,0.1103,0.1453,0.8547,0.012120351765074755,-0.014784237923292642,0.09296744215917152,0.44467962415874074,20.56999969482422,Q2,0.032646541496297754,0.05502212098088832,0.1689003450174691,0.04712636308497875,0.05036206628085438,0.1179417710289914,0.14773699409051097
2020-12,-0.7834,False,115,0.1304,0.244,0.756,0.008817026150480967,-0.07540460440348307,0.39281483502124104,0.012120351765074755,22.75,Q1 (lowest),-0.005971167256521914,0.06456473736611579,0.15355901838388308,0.004430815771206742,0.0190232800564325,0.1331704005540304,0.18287176765727323
2021-01,-0.9015,False,129,0.093,0.2799,0.7201,-0.03509003799768706,0.10540038893389525,0.5474822800204617,0.008817026150480967,33.09000015258789,Q1 (lowest),0.02780538594984394,0.1313176946473571,0.19270811187740766,-0.001334822408560199,0.07584223690410097,0.16179368900769986,0.14544680197369048
2021-02,-0.8648,False,137,0.1022,0.3228,0.6772,-0.05015545522844034,0.1093686116585646,0.6322833023014223,-0.03509003799768706,27.950000762939453,Q1 (lowest),0.04198677201001377,0.1079391813421926,0.1949761183077805,0.015884117866745928,0.06433943772115147,0.2124247175284797,0.1206298063385237
2021-03,-0.6432,False,224,0.1116,0.4182,0.5818,0.2060915924748068,0.5064046843134506,0.6033304597323588,-0.05015545522844034,19.399999618530273,Q2,0.05635887419555319,0.0835968709972037,0.08988471946948495,0.06043612231789508,0.11201620486165575,0.12439401967197594,0.12823653913973
2021-04,-0.5646,False,206,0.1359,0.4163,0.5837,-0.031626154976829524,0.39992919806454297,1.2978523262856418,0.2060915924748068,18.610000610351562,Q2,0.0065659392371872904,0.05426452491683742,0.1076648508334741,-0.012012452078404401,0.07989224549403962,0.14496382689459875,0.10768003586549178
2021-05,-0.6575,False,172,0.1337,0.3818,0.6182,0.289787953775128,0.4713624354857784,1.2939314049912567,-0.031626154976829524,16.760000228881836,Q2,0.019093488870668862,0.07855750426674923,0.09159742112542602,0.0613903434304357,0.1391335081263101,0.18202612627943449,0.09774385022049598
2021-06,-0.9711,False,92,0.0978,0.2167,0.7833,0.12084279438838696,0.06434245487166845,0.24244146400185684,0.289787953775128,15.829999923706055,Q1 (lowest),0.027763845073279114,0.005802756209968285,0.11676035525203243,0.029802210009458374,0.011130966218122706,0.12505443394903892,0.018359553697900932
2021-07,-1.0905,False,90,0.0667,0.2799,0.7201,0.01778640022931266,0.6414061007246028,-0.1873893302050007,0.12084279438838696,18.239999771118164,Q1 (lowest),0.029759819898345308,0.050651733653704234,0.03290025040855893,0.042187057222692115,0.06025747631032363,-0.0017918520488691136,0.06463748736624314
2021-08,-1.0375,False,108,0.1111,0.539,0.461,-0.06700344940388803,0.5590525826044368,-0.03577935871506688,0.01778640022931266,16.479999542236328,Q1 (lowest),-0.04965007810260791,0.012090145223681903,-0.026557483129937665,-0.057876328076198025,0.03765372350750673,-0.08506971025625853,0.08330844873922748
2021-09,-1.0075,False,126,0.127,0.6114,0.3886,0.7285397122340065,0.1673324298161747,0.0625831808865418,-0.06700344940388803,23.139999389648438,Q1 (lowest),0.0735920725468937,0.11031745375223556,0.05951129915697351,0.0798358756306603,0.112669349013232,0.015212629141894807,0.09212118844372742
2021-10,-1.0502,False,136,0.1176,0.6724,0.3276,-0.033278531670685396,-0.50493015138894,-0.5576212055791123,0.7285397122340065,16.260000228881836,Q1 (lowest),-0.00803498220853649,-0.016895687387687763,-0.09693652607226821,0.019968549792085843,-0.05852288688887464,-0.18666204662337704,0.08931318941448614
2021-11,-0.9991,False,193,0.0881,0.623,0.377,-0.30142373479278595,-0.3815342394198288,-0.702507445995407,-0.033278531670685396,27.190000534057617,Q1 (lowest),0.04258510018545936,-0.038185954616797524,-0.08756667005161145,0.010233095088805877,-0.11827012324393915,-0.21523694720882636,0.17638787604101944
2021-12,-0.902,False,233,0.0815,0.5459,0.4541,-0.2669201404876129,-0.08973386351146628,-0.6673003802281369,-0.30142373479278595,17.219999313354492,Q1 (lowest),-0.049413307031771714,-0.04575822385171602,-0.20045583449701343,-0.08630469265268825,-0.08758821293834185,-0.2937415235413393,0.1761124799253768
2022-01,-0.6315,False,246,0.0976,0.3827,0.6173,0.20767631043752588,-0.1064315557451121,-0.47800831018331835,-0.2669201404876129,24.829999923706055,Q2,-0.02951713831320324,-0.08141642515217462,-0.07747089350702918,-0.044759844738697874,-0.13610438103063882,-0.12833734548747022,0.07757719849739113
2022-02,-0.2066,False,213,0.1643,0.2992,0.7008,0.028173843247592423,-0.5189829850475136,-0.4625493843074584,0.20767631043752588,30.149999618530273,Q3,0.034376928224554515,-0.051341229286311685,-0.08819806544805342,0.045386583734666974,-0.1099733904011897,-0.1343251174499025,0.012950042684724475
2022-03,-0.0724,False,244,0.1598,0.2924,0.7076,-0.2803675723826874,-0.6345029146582407,-0.537928130464307,0.028173843247592423,20.559999465942383,Q3,-0.08493492482157072,-0.1621157389165261,-0.20326494376812076,-0.13488911006706938,-0.22594327860109742,-0.26048228272016893,0.044598361052760015
2022-04,-0.1051,False,247,0.166,0.3452,0.6548,-0.34989551431631893,-0.4158346871213091,-0.34618063508377184,-0.2803675723826874,33.400001525878906,Q3,0.002257283687025602,0.0042952342641213725,-0.054680558389847644,-0.015865877692324948,0.008990710651403333,-0.109386413422222,0.060461243161340085
2022-05,-0.5793,False,264,0.1174,0.4837,0.5163,-0.21875,0.11732142312186111,-0.12250001089913509,-0.34989551431631893,26.190000534057617,Q2,-0.08640685677189952,-0.03885152101004019,-0.0043761577503650395,-0.09082660802152132,-0.027360673024921733,-0.04485492707241856,-0.10768997094144223
2022-06,-0.5174,False,245,0.1347,0.4721,0.5279,0.15017142159598218,0.26422860281808025,0.03337140764508928,-0.21875,28.709999084472656,Q2,0.09680481747547942,-0.0491108459280335,0.02229204863673062,0.12768073384619694,-0.04462076636535284,-0.04641332872230264,-0.16045946804904782
2022-07,-0.398,False,245,0.1469,0.4403,0.5597,0.24344197285955071,0.11923688466590243,0.05147059157979861,0.15017142159598218,21.329999923706055,Q2,-0.040801916701071805,-0.0587235612017839,-0.004771877326828933,-0.051321741350250805,-0.1173223131035579,-0.06214396003628564,-0.14668051225025017
2022-08,-0.2336,False,205,0.1951,0.4023,0.5977,-0.11603002008858487,-0.2146396095681411,-0.040914198270369795,0.24344197285955071,25.8700008392334,Q2,-0.0961585747469178,0.03586892557527044,0.01147566719760662,-0.10696045864114256,-0.017986373327001037,-0.014964289348910143,-0.0771652519029843
2022-09,-0.3114,False,280,0.2321,0.6595,0.3405,0.01826068154865257,-0.18260716033349456,0.11480741848593556,-0.11603002008858487,31.6200008392334,Q2,0.08571701362776452,0.07509066041924828,0.15616589294658034,0.041867550252502994,-0.0018762835676574552,0.2058540094063135,-0.07120430816598017
2022-10,-0.3051,False,342,0.193,0.6625,0.3375,-0.12748580156394462,-0.06054687261877745,-0.16459517947432767,0.01826068154865257,25.8799991607666,Q2,0.05559158500696393,0.05731757606069299,0.08602762049394941,0.05544185737615126,0.06251245940212136,0.16507573353275107,-0.09523828538867639
2022-11,0.0426,False,406,0.1773,0.5802,0.4198,-0.07997558717926345,0.22120470221606436,0.4074074994123471,-0.12748580156394462,20.579999923706055,Q3,-0.06193587740845663,-0.023548595556254215,0.03358233132468791,-0.09231000290492597,0.0030774358888780995,0.19090221389800366,-0.045466909733453055
2022-12,-0.1649,False,345,0.1507,0.51,0.49,0.17031632202762004,0.3638575778823494,0.4459191344914961,-0.07997558717926345,21.670000076293945,Q3,0.06776825750593174,0.07541246102511545,0.16888093683890282,0.1090781983889344,0.20812078658593003,0.3928109802580655,-0.008398624274724006
2023-01,-0.4507,False,357,0.112,0.5263,0.4737,0.13419010573798684,-0.11075412260917217,0.2997542400565709,0.17031632202762004,19.399999618530273,Q2,-0.025142578694934414,0.02715366232747507,0.13472772328792404,-0.003597649459666341,0.0965290084111976,0.30609298689583064,0.014730444528732086
2023-02,-0.3005,False,409,0.1076,0.4914,0.5086,0.0274954436265471,0.15247468082819293,0.08365273451378119,0.13419010573798684,20.700000762939453,Q2,0.03313471831219572,0.058508725186879884,0.14507629080683904,0.09323479327887463,0.1872485326545945,0.2913697095827006,0.01808792793400506
2023-03,-0.0841,False,506,0.1166,0.5368,0.4632,-0.23694454502929663,0.06016871405045321,0.022380815302145196,0.0274954436265471,18.700000762939453,Q3,0.019852490056492256,0.0869140717643262,0.05206642224235325,0.00663479234275699,0.15287394747511796,0.11961129699135697,-0.0001207165862555833
2023-04,0.2264,False,591,0.1472,0.6043,0.3957,0.4699257127220764,0.461636509207366,0.20488840692807408,-0.23694454502929663,15.779999732971191,Q3,0.004616080447374493,0.10473025108696188,0.012752206251921416,0.07883806040540642,0.1911157633561178,0.09083535122481234,0.02380019403293308
2023-05,0.3707,False,668,0.1407,0.5987,0.4013,-0.05480047303126112,-0.05971666662989494,0.11552917062881818,0.4699257127220764,17.940000534057617,Q3,0.0608591470642299,0.08178257161241231,0.10018239225597947,0.06158220202343845,0.0876995625299275,0.12051218315996826,-0.01873401039672512
2023-06,0.4861,False,710,0.1324,0.5706,0.4294,0.05201153057412333,-0.03564328794794969,0.2736729178213755,-0.05480047303126112,13.59000015258789,Q3,0.03656942777723482,-0.03206108967326804,0.08003603980518359,0.040025730244067415,-0.028851940454208913,0.11167618701391113,0.08083457531761172
2023-07,0.4817,False,663,0.1312,0.5372,0.4628,-0.05438415073918157,-0.17565797013275497,0.14948388702194104,0.05201153057412333,13.630000114440918,Q3,-0.01625200729296028,-0.08325837438102357,0.06281920245791284,-0.014829857479806141,-0.08419031568245972,0.09108581259533466,0.0850304276756121
2023-08,0.8691,False,642,0.1667,0.5409,0.4591,-0.03060122868098647,0.18637556472537709,0.5153006730010705,-0.05438415073918157,13.569999694824219,Q4 (highest),-0.050782593687965116,0.017008797448217372,0.13675904940272843,-0.05217071785386118,0.03016698890061198,0.1660235937282295,0.06531296243336265
2023-09,0.9965,False,648,0.1682,0.5226,0.4774,-0.1007297302759762,0.3207487456701916,0.5360088899872548,-0.03060122868098647,17.520000457763672,Q4 (highest),-0.018257937407777147,0.11581012838983074,0.23290749587648896,-0.019237461955687984,0.14470309247577084,0.2442437904099073,0.03388391968716792
2023-10,0.8352,False,618,0.1456,0.4629,0.5371,0.36091027332518544,0.3944259122721889,0.5417181803335092,-0.1007297302759762,18.139999389648438,Q4 (highest),0.0913438804303972,0.159344326423823,0.20894596259632925,0.10818849882670634,0.19138924962167203,0.2147654401281267,0.024201140969245655
2023-11,0.2734,False,499,0.1202,0.4083,0.5917,0.07919637705129601,0.2772520928917086,-0.12261826179354551,0.36091027332518544,12.920000076293945,Q3,0.04143287517709204,0.11774750843353288,0.16378896497040807,0.05321090862139011,0.1318782355592687,0.1636068586747459,0.04690361009479906
2023-12,-0.1576,False,398,0.1181,0.4543,0.5457,-0.05056448446379125,0.16298341756730816,-0.005164548332249774,0.07919637705129601,12.449999809265137,Q3,0.02004549100155728,0.10494381123393781,0.15319318003271198,0.020762459661470167,0.08695765617165319,0.17443480680992285,0.028734370195317233
2024-01,-0.2026,False,415,0.1108,0.4648,0.5352,0.246552778132197,0.10562932513302936,-0.019607880985696546,-0.05056448446379125,14.350000381469727,Q3,0.052186891670110036,0.0427842143546,0.1479122561379851,0.05283344055468331,0.019620951350600047,0.1330374058651993,0.05106717854241009
2024-02,0.4108,False,583,0.1235,0.4633,0.5367,-0.017353349589863898,-0.3130708157854293,-0.1664298901309904,0.246552778132197,13.399999618530273,Q3,0.029503355239124618,0.041191285321136695,0.11646894139550223,0.011412380523309729,0.02803183427217304,0.08805874190557783,0.03397117603609099
2024-03,0.797,False,780,0.1205,0.495,0.505,-0.09738717470674929,-0.14458328756852312,-0.1646184254877715,-0.017353349589863898,13.010000228881836,Q4 (highest),-0.03733807536136524,0.04366680758625363,0.10386628833394451,-0.04247347234412946,0.08047889459316249,0.10243507199456725,0.08412733084798742
2024-04,0.3959,False,737,0.1248,0.5837,0.4163,-0.22551485972956853,-0.11327232669381071,0.003546882759515313,-0.09738717470674929,15.649999618530273,Q3,0.050579599360446315,0.10081476142065604,0.1399345189258363,0.06151829426693034,0.11123393881262111,0.14298532353085447,0.08633531069650785
2024-05,-0.3694,False,588,0.1156,0.694,0.306,0.2236666988268159,0.21347313380215027,0.47481161516384085,-0.22551485972956853,12.920000076293945,Q2,0.031951088440349995,0.07229954489212576,0.14975833841821062,0.06301156681529552,0.05839012531737664,0.13436058045666655,0.086892403291379
2024-06,-0.7565,False,538,0.0948,0.7656,0.2344,-0.06434868662596549,-0.023421494609685012,0.30001204786650515,0.2236666988268159,12.4399995803833,Q2,0.015374302600160483,0.057680746680942585,0.08370567242469695,-0.015218177634787278,0.020320783229802908,0.07023897140620572,-0.010845118884413326
2024-07,-0.7435,False,528,0.0833,0.7215,0.2785,0.05987095986643154,0.131741923670615,0.7858063728578628,-0.06434868662596549,16.360000610351562,Q2,0.023365661279203698,0.03553709386554238,0.09964900085229567,0.011038667246205947,0.02857308763639832,0.11207945120148577,0.013233268078173321
2024-08,0.0217,False,629,0.1161,0.5925,0.4075,-0.015217920736404711,0.2153640439841007,0.7689311435528086,0.05987095986643154,15.0,Q3,0.017882365948037604,0.07223615257048088,0.06090049751243787,0.02477599562834376,0.07177925542012087,0.07020106889297395,0.010935901051144281
2024-09,0.8276,False,687,0.1499,0.5323,0.4677,0.08431202554437123,0.33119051944208167,0.39312650873659516,-0.015217920736404711,16.729999542236328,Q4 (highest),-0.005883620553885138,0.02460565328944675,-0.018763415434725816,-0.007253310599035445,0.04892401389530465,-0.03633477860977408,-0.020177735326483297
2024-10,1.2065,False,805,0.1553,0.5453,0.4547,0.1381826801173418,0.5779272071727268,0.37703796648059273,0.08431202554437123,23.15999984741211,Q4 (highest),0.059633368831532474,0.06191174354501472,-0.018570289001665907,0.05350828541719266,0.08118661140257921,-0.014267083308857176,-0.01982183051757343
2024-11,0.5095,False,788,0.1637,0.683,0.317,0.07863366052427678,0.4554743101943779,0.6617248957922395,0.1381826801173418,13.510000228881836,Q4 (highest),-0.027333648437635305,-0.010571976174155395,-0.015595806968094483,0.0029230788355671944,-0.0014724921378780342,0.02154529785545134,0.010461369524279987
2024-12,-0.2293,False,643,0.1649,0.7735,0.2265,0.2852896870750845,0.04652676562065028,0.8186292837672091,0.07863366052427678,17.350000381469727,Q3,0.030312349336667932,-0.042327571183057744,0.060937527164453,0.023281395864477306,-0.08128214377365606,0.0823961854826798,0.07107762616543171
2025-01,-0.1295,False,608,0.1727,0.7496,0.2504,0.04985555967895672,-0.1273121090624202,0.5005780479377371,0.2852896870750845,16.43000030517578,Q3,-0.012694834127274901,-0.07578975657431264,0.05655458884650222,-0.02703474899206748,-0.08828604951702856,0.08462376417053297,0.04690545311500852
2025-02,0.0915,False,640,0.1437,0.6593,0.3407,-0.22443220870914538,0.1417067853092624,0.43640744893530314,0.04985555967895672,19.6299991607666,Q3,-0.05855127922553982,-0.005077510109844363,0.09209861143025977,-0.07723789911357615,0.02305173348965739,0.12539559704051984,0.10517851539851686
2025-03,1.1649,False,768,0.1497,0.5141,0.4859,0.0717898319515704,0.737776178795253,0.9042505252359703,-0.22443220870914538,22.280000686645508,Q4 (highest),-0.005687959126836062,0.10782924854073439,0.1980181306256943,0.015480343128853269,0.17815951670804409,0.2836744094142931,0.10350928203393772
2025-04,2.1077,True,880,0.1614,0.4547,0.5453,0.3734889970712929,0.7194899385226692,1.0972015698941737,0.0717898319515704,24.700000762939453,Q4 (highest),0.06284486771162645,0.1431972285118437,0.23701237869479153,0.09178299415245861,0.18965357894980572,0.3260703267024394,0.06864023403848095
2025-05,2.1146,True,910,0.1681,0.4929,0.5071,0.1804810570351627,0.2581228975933718,0.2068841247241593,0.3734889970712929,18.56999969482422,Q4 (highest),0.04828711731137414,0.09767205237347976,0.1661387588846146,0.06266468764830968,0.10003781842171833,0.19563111573559433,0.06655320177301415
2025-06,1.8974,True,920,0.1783,0.5571,0.4429,0.06051162096678997,0.09579734632806902,0.006740499683845602,0.1804810570351627,16.729999542236328,Q4 (highest),0.02605592955723468,0.08141045400612001,0.11003020046212453,0.025387315914526365,0.08955908873959073,0.11614991376426409,0.10577092126533932
2025-07,1.3934,False,816,0.1703,0.5604,0.4396,0.004959620928405739,0.21966492673753146,-0.14604192816789607,0.06051162096678997,16.719999313354492,Q4 (highest),0.020519537835420598,0.0820638362682804,0.1010295556601215,0.009539755377876658,0.11466930387672924,0.10333097759723153,0.12274548735048697
2025-08,2.1894,True,914,0.1652,0.4748,0.5252,0.028173012480827708,-0.040726365418851995,-0.17497965165862106,0.004959620928405739,15.359999656677246,Q4 (highest),0.03275713817185344,0.062374464543476726,0.06956748100048382,0.05254196657624188,0.08690000990241287,0.06728131079592847,0.08528247633243789
2025-09,2.8891,True,945,0.1683,0.4006,0.5994,0.1803905465048563,-0.08127127423938929,-0.03844540817741404,0.028173012480827708,16.280000686645508,Q4 (highest),0.026675866919476432,0.026465202319786885,-0.01817813743111707,0.04901861445317812,0.024405124329175854,-0.0362716685885911,0.07779981987401273
2025-10,2.7304,True,1026,0.1579,0.4341,0.5659,-0.20959335056558426,-0.2998420688243064,-0.34074218917777777,0.1803905465048563,17.440000534057617,Q4 (highest),0.0019500340229998692,0.01752735721882015,0.0018603979750533295,-0.015610489765097046,-0.010171919366635307,-0.026135798022247858,0.11990069007234157
2025-11,1.4767,False,981,0.1356,0.5262,0.4738,-0.015284015357714176,-0.13995306594493107,,-0.20959335056558426,16.350000381469727,Q4 (highest),-0.002151030393678588,0.006770697806726789,,-0.007977390460214506,-0.01805014162088925,,0.1380008091645559
2025-12,0.6254,False,850,0.1176,0.5645,0.4355,-0.10043108499087727,0.04661426693338644,,-0.015284015357714176,14.949999809265137,Q4 (highest),0.017736187477164433,-0.04349230704558815,,0.01361078447632269,-0.05923124697126125,,0.04082041789174303
2026-01,0.513,False,798,0.1115,0.5396,0.4604,-0.02909502951523768,-0.058415563878270405,,-0.10043108499087727,17.440000534057617,Q4 (highest),-0.008641951723092456,-0.015397088965341421,,-0.02344542544546735,-0.016127930665896795,,0.00819290582626355
2026-02,1.3478,False,892,0.1435,0.5308,0.4692,0.19832739074444872,,,-0.02909502951523768,19.860000610351562,Q4 (highest),-0.05196861816263498,,,-0.049580927794436125,,,-0.018630878500014325
2026-03,2.1555,True,1051,0.1513,0.5061,0.4939,-0.19070462122277665,,,0.19832739074444872,25.25,Q4 (highest),0.047629852050850685,,,0.06005151299026923,,,-0.024306653573954895
